                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.6842,                 2.4277,                  3.099,                0.14292,                   0.25,                0.12412,                0.03892,                    nan,                    nan,                    nan,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.3337,                 2.4402,                 3.0911,                0.14292,                   0.25,                0.12412,                0.03892,                    nan,                    nan,                    nan,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.3221,                 2.3493,                 3.0513,                0.21864,                  0.275,                0.16484,                0.04811,                    nan,                    nan,                    nan,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.3393,                 2.1496,                 2.9391,                0.21864,                  0.275,                0.16484,                0.04811,                    nan,                    nan,                    nan,              0.0018654,              0.0018654,              0.0018654
                     70,                 2.5509,                 2.4217,                 3.1394,                  0.133,                    0.2,                 0.0723,                 0.0241,                    nan,                    nan,                    nan,              0.0018634,              0.0018634,              0.0018634
                     71,                 2.4934,                 2.4036,                 3.1736,                  0.133,                    0.2,                 0.0723,                 0.0241,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     72,                 2.5906,                 2.3902,                 3.1831,                0.11714,                  0.225,                0.06874,                0.02021,                    nan,                    nan,                    nan,              0.0018594,              0.0018594,              0.0018594
                     73,                 2.4883,                 2.2889,                 3.1558,                0.11714,                  0.225,                0.06874,                0.02021,                    nan,                    nan,                    nan,              0.0018574,              0.0018574,              0.0018574
                     74,                 2.4364,                 2.3967,                 3.1857,                0.16946,                  0.325,                0.14431,                0.03715,                    nan,                    nan,                    nan,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.4425,                 2.3417,                 3.1099,                0.16946,                  0.325,                0.14431,                0.03715,                    nan,                    nan,                    nan,              0.0018535,              0.0018535,              0.0018535
                     76,                 2.5705,                 2.5383,                 3.2468,                0.47342,                0.29241,                0.23826,                0.06156,                    nan,                    nan,                    nan,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.5055,                 2.2387,                 3.1356,                0.47342,                0.29241,                0.23826,                0.06156,                    nan,                    nan,                    nan,              0.0018495,              0.0018495,              0.0018495
                     78,                 2.4189,                 2.1967,                 3.0037,                0.36068,                  0.325,                0.25875,                0.07888,                    nan,                    nan,                    nan,              0.0018475,              0.0018475,              0.0018475
                     79,                 2.5079,                 2.3535,                 3.1141,                0.36068,                  0.325,                0.25875,                0.07888,                    nan,                    nan,                    nan,              0.0018456,              0.0018456,              0.0018456
                     80,                 2.4393,                 2.2557,                 3.1198,                0.41141,                    0.3,                0.27472,                0.08663,                    nan,                    nan,                    nan,              0.0018436,              0.0018436,              0.0018436
                     81,                 2.3035,                 2.1854,                 2.9673,                0.41141,                    0.3,                0.27472,                0.08663,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                     82,                 2.4321,                 2.3521,                 3.0361,                0.31351,                0.41113,                0.27695,                0.08234,                    nan,                    nan,                    nan,              0.0018396,              0.0018396,              0.0018396
                     83,                 2.3643,                 2.1268,                 3.0316,                0.31351,                0.41113,                0.27695,                0.08234,                    nan,                    nan,                    nan,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.3896,                 2.3879,                  3.048,                0.21488,                   0.55,                0.20039,                0.06407,                    nan,                    nan,                    nan,              0.0018357,              0.0018357,              0.0018357
                     85,                 2.5361,                 2.2395,                  3.069,                0.21488,                   0.55,                0.20039,                0.06407,                    nan,                    nan,                    nan,              0.0018337,              0.0018337,              0.0018337
                     86,                 2.4028,                   2.22,                  3.112,                0.24329,                  0.375,                0.19029,                0.05489,                    nan,                    nan,                    nan,              0.0018317,              0.0018317,              0.0018317
                     87,                 2.2903,                 2.1325,                 2.9068,                0.24329,                  0.375,                0.19029,                0.05489,                    nan,                    nan,                    nan,              0.0018297,              0.0018297,              0.0018297
                     88,                 2.3571,                 2.2004,                 3.0818,                0.24869,                  0.175,                0.15876,                0.04047,                    nan,                    nan,                    nan,              0.0018277,              0.0018277,              0.0018277
                     89,                 2.3097,                  2.126,                 2.9961,                0.24869,                  0.175,                0.15876,                0.04047,                    nan,                    nan,                    nan,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.3463,                 2.2269,                 3.0315,                0.13879,                  0.325,                0.12769,                0.03185,                    nan,                    nan,                    nan,              0.0018238,              0.0018238,              0.0018238
                     91,                 2.2333,                   2.14,                 2.9979,                0.13879,                  0.325,                0.12769,                0.03185,                    nan,                    nan,                    nan,              0.0018218,              0.0018218,              0.0018218
                     92,                 2.4026,                 2.2353,                 3.0073,                0.17692,                   0.35,                0.14583,                0.04144,                    nan,                    nan,                    nan,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.3856,                 2.2052,                 3.0109,                0.17692,                   0.35,                0.14583,                0.04144,                    nan,                    nan,                    nan,              0.0018178,              0.0018178,              0.0018178
                     94,                 2.1993,                 2.1375,                 2.9435,                0.18625,                0.41207,                0.15664,                0.04127,                    nan,                    nan,                    nan,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.1227,                 2.0975,                 2.9003,                0.18625,                0.41207,                0.15664,                0.04127,                    nan,                    nan,                    nan,              0.0018139,              0.0018139,              0.0018139
                     96,                 2.3616,                 2.1197,                 2.9925,                0.16348,                  0.425,                0.14877,                0.03286,                    nan,                    nan,                    nan,              0.0018119,              0.0018119,              0.0018119
                     97,                 2.2529,                 2.1211,                  2.951,                0.16348,                  0.425,                0.14877,                0.03286,                    nan,                    nan,                    nan,              0.0018099,              0.0018099,              0.0018099
                     98,                 2.2313,                  2.128,                 2.9816,                0.17051,                    0.4,                0.13637,                0.03725,                    nan,                    nan,                    nan,              0.0018079,              0.0018079,              0.0018079
                     99,                 2.1401,                   2.25,                 2.8698,                0.17051,                    0.4,                0.13637,                0.03725,                    nan,                    nan,                    nan,               0.001806,               0.001806,               0.001806
                    100,                 2.2543,                 2.0303,                 2.9692,                0.23865,                  0.425,                0.19716,                0.05998,                    nan,                    nan,                    nan,               0.001804,               0.001804,               0.001804
                    101,                 2.2584,                 2.1597,                 2.9074,                0.23865,                  0.425,                0.19716,                0.05998,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                    102,                 2.3356,                 2.1257,                 2.9653,                0.10195,                  0.175,                 0.1176,                 0.0208,                    nan,                    nan,                    nan,                 0.0018,                 0.0018,                 0.0018
                    103,                 2.2222,                 1.9919,                 2.9312,                0.10195,                  0.175,                 0.1176,                 0.0208,                    nan,                    nan,                    nan,               0.001798,               0.001798,               0.001798
                    104,                 2.2468,                 2.0266,                 2.9404,                0.06014,                  0.175,                0.02642,                0.00539,                    nan,                    nan,                    nan,              0.0017961,              0.0017961,              0.0017961
                    105,                 2.2924,                 2.1192,                 2.9551,                0.06014,                  0.175,                0.02642,                0.00539,                    nan,                    nan,                    nan,              0.0017941,              0.0017941,              0.0017941
                    106,                 2.4482,                 2.3924,                 3.0895,                0.17312,                  0.125,                0.07811,                0.01551,                    nan,                    nan,                    nan,              0.0017921,              0.0017921,              0.0017921
                    107,                 2.1645,                  2.064,                 2.8528,                0.17312,                  0.125,                0.07811,                0.01551,                    nan,                    nan,                    nan,              0.0017901,              0.0017901,              0.0017901
                    108,                 2.2113,                 2.1201,                 2.9343,                 0.3503,                  0.525,                0.35293,                0.12524,                    nan,                    nan,                    nan,              0.0017881,              0.0017881,              0.0017881
                    109,                 2.1375,                 2.0625,                 2.8767,                 0.3503,                  0.525,                0.35293,                0.12524,                    nan,                    nan,                    nan,              0.0017862,              0.0017862,              0.0017862
                    110,                 2.3117,                 2.2555,                 2.9614,                0.40768,                    0.6,                0.46306,                0.16876,                    nan,                    nan,                    nan,              0.0017842,              0.0017842,              0.0017842
                    111,                 2.3268,                 2.1096,                  2.951,                0.40768,                    0.6,                0.46306,                0.16876,                    nan,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                    112,                 2.1457,                 2.0328,                 2.8061,                0.27605,                   0.45,                0.29813,                0.07199,                    nan,                    nan,                    nan,              0.0017802,              0.0017802,              0.0017802
                    113,                 2.1843,                 2.0991,                 2.9087,                0.27605,                   0.45,                0.29813,                0.07199,                    nan,                    nan,                    nan,              0.0017782,              0.0017782,              0.0017782
                    114,                 2.2696,                 2.1274,                  2.894,                0.25371,                    0.4,                0.30154,                0.06467,                    nan,                    nan,                    nan,              0.0017763,              0.0017763,              0.0017763
                    115,                 2.0788,                  2.189,                 2.9219,                0.25371,                    0.4,                0.30154,                0.06467,                    nan,                    nan,                    nan,              0.0017743,              0.0017743,              0.0017743
